271  715.151000 2.131E-25 8.917E-02.07610.114 2024.68541.030.000000             V9         GROUND 40 20-1A34     41 21 0A12    455650 6 6 6 3 4 0  1296.0 1328.0
271  715.271060 1.051E-25 8.798E-02.07610.114 2024.68031.030.000000             V9         GROUND 40 20-1E34     41 21 0E34    455650 6 6 6 3 4 0   648.0  664.0
271  715.398920 5.698E-26 9.088E-02.07500.114 2004.21261.010.000000             V9         GROUND 38 21-1 E2     39 22 0 E1    455650 6 6 6 3 4 0   308.0  316.0
271  715.443520 4.922E-26 8.034E-02.07810.115 2034.06851.060.000000             V9         GROUND 43 18-1 E2     44 19 0 E1    455650 6 6 6 3 4 0   348.0  356.0
271  715.465440 3.274E-26 6.037E-02.07730.114 2054.36721.050.000000             V9         GROUND 42 19-1 E2     43 20 0 E1    455650 6 6 6 3 4 0   340.0  348.0
271  715.520900 1.958E-25 7.991E-02.07810.115 2034.06321.060.000000             V9         GROUND 43 18-1  G     44 19 0  G    455650 6 6 6 3 4 0  1392.0 1424.0
271  715.733910 2.389E-25 9.534E-02.07500.114 2004.21771.010.000000             V9         GROUND 38 21-1  G     39 22 0  G    455650 6 6 6 3 4 0  1232.0 1264.0
271  716.000070 2.377E-25 8.535E-02.07670.114 1997.76851.040.000000             V9         GROUND 41 19-1  G     42 20 0  G    455650 6 6 6 3 4 0  1328.0 1360.0
271  716.158200 1.598E-28 2.963E-06.07100.114 1092.64511.050.000000            3V4         GROUND 39  2 0 E2     40  2 0 E1    455650 6 6 6 3 4 0   316.0  324.0
271  716.320880 1.039E-25 7.724E-02.07880.115 2019.06251.070.000000             V9         GROUND 44 17-1E34     45 18 0E34    455650 6 6 6 3 4 0   712.0  728.0
271  716.544010 2.751E-25 9.112E-02.07550.114 1970.69471.020.000000             V9         GROUND 39 20-1A34     40 21 0A12    455650 6 6 6 3 4 0  1264.0 1296.0
271  716.580310 2.003E-25 7.450E-02.07880.115 2019.05701.070.000000             V9         GROUND 44 17-1A34     45 18 0A12    455650 6 6 6 3 4 0  1424.0 1456.0
