261  500.796690 8.913E-25 5.148E-03.07330.132 1819.67180.75-.001000 000 2 1 0 1  u 000 0 2 0 2  g                    Q 17e     3466432320 2 1 1 1   105.0  105.0
261  500.803940 6.152E-28 4.515E-03.04500.081 3472.58400.75-.001000 000 3 0 3 0  g 000 1 1 1 1  u                    Q 42e     3455432320 2 1 1 1   255.0  255.0
261  500.865370 8.466E-25 8.349E-04.06710.121 1272.32110.75-.001000 000 2 0 2 0  g 000 0 1 0 1  u                    Q 21e     3466432320 2 1 1 1    43.0   43.0
261  500.894350 5.095E-27 6.547E-04.08520.166 2028.05660.75-.001000 000 4 0 4 0  g 000 2 1 2 1  u                    P  7e     3466432320 2 1 1 1    13.0   15.0
261  500.894390 1.530E-26 6.554E-04.08520.166 2028.05650.75-.001000 000 4 0 4 0  g 000 2 1 2 1  u                    P  7f     3466432320 2 1 1 1    39.0   45.0
261  500.896410 3.258E-25 4.928E-03.07460.135 1779.51260.75-.001000 000 2 1 0 1  u 000 0 2 0 2  g                    Q 16e     3466432320 2 1 1 1    33.0   33.0
261  500.934580 4.829E-26 5.769E-03.08200.158 2068.20600.75-.001000 000 4 0 2 0  g 000 2 1 2 1  u                    P  9e     3466432320 2 1 1 1    17.0   19.0
261  500.980170 2.052E-24 8.291E-04.06530.118 1324.01500.75-.001000 000 2 0 2 0  g 000 0 1 0 1  u                    Q 22e     3466432320 2 1 1 1   135.0  135.0
261  500.983250 1.054E-24 4.709E-03.07560.138 1741.71690.75-.001000 000 2 1 0 1  u 000 0 2 0 2  g                    Q 15e     3466432320 2 1 1 1    93.0   93.0
261  501.002880 5.544E-27 1.236E-03.07190.129 2345.15220.75-.001000 000 4 0 2 0  g 000 2 1 2-1  u                    P 18f     3466432320 2 1 1 1    35.0   37.0
261  501.004040 2.115E-28 9.324E-07.09030.175 1484.54360.75-.001000 000 2 1 2 1  u 000 0 2 0 0+ g                    P  5e     3466432320 2 1 1 1    27.0   33.0
261  501.053900 4.716E-26 3.817E-03.09030.175 2083.21210.75-.001000 000 3 1 1-1+ u 000 1 2 1 0  g                    P  5e     3466432320 2 1 1 1    27.0   33.0
261  501.058270 3.720E-25 4.487E-03.07680.141 1706.28460.75-.001000 000 2 1 0 1  u 000 0 2 0 2  g                    Q 14e     3466432320 2 1 1 1    29.0   29.0
261  501.099940 5.451E-25 8.230E-04.06350.116 1378.05190.75-.001000 000 2 0 2 0  g 000 0 1 0 1  u                    Q 23e     3466432320 2 1 1 1    47.0   47.0
261  501.122540 1.162E-24 4.274E-03.07770.144 1673.21550.75-.001000 000 2 1 0 1  u 000 0 2 0 2  g                    Q 13e     3466432320 2 1 1 1    81.0   81.0
261  501.149130 8.372E-28 7.279E-03.04500.081 3271.26740.75-.001000 000 3 0 3 0  g 000 1 1 1-1- u                    Q 40f     3455432320 2 1 1 1    81.0   81.0
261  501.149690 1.600E-25 2.570E-03.09400.180 1472.73370.75-.001000 000 2 1 0 1  u 000 0 2 0 0+ g                    P  4e     3466432320 2 1 1 1     7.0    9.0
261  501.155100 1.735E-25 6.914E-03.08200.158 2068.20590.75-.001000 000 4 0 2 0  g 000 2 1 2 1  u                    P  9f     3466432320 2 1 1 1    51.0   57.0
261  501.177140 3.962E-25 4.068E-03.07870.147 1642.50940.75-.001000 000 2 1 0 1  u 000 0 2 0 2  g                    Q 12e     3466432320 2 1 1 1    25.0   25.0
261  501.185770 3.266E-23 3.032E-03.08520.166  795.29270.75-.001000 000 2 0 0 0+ g 000 0 1 0 1  u                    Q  7f     3466432320 2 1 1 1    45.0   45.0
261  501.188520 1.050E-23 2.828E-03.08340.162  814.18750.75-.001000 000 2 0 0 0+ g 000 0 1 0 1  u                    Q  8f     3466432320 2 1 1 1    17.0   17.0
261  501.189150 1.085E-23 3.217E-03.08750.170  778.75910.75-.001000 000 2 0 0 0+ g 000 0 1 0 1  u                    Q  6f     3466432320 2 1 1 1    13.0   13.0
261  501.195360 1.940E-26 2.301E-03.08080.154 2089.44710.75-.001000 000 4 0 2 0  g 000 2 1 0 1  u                    P 10f     3466432320 2 1 1 1    19.0   21.0
261  501.196730 3.099E-23 3.379E-03.09030.175  764.58690.75-.001000 000 2 0 0 0+ g 000 0 1 0 1  u                    Q  5f     3466432320 2 1 1 1    33.0   33.0
261  501.199140 2.935E-23 2.615E-03.08200.158  835.44310.75-.001000 000 2 0 0 0+ g 000 0 1 0 1  u                    Q  9f     3466432320 2 1 1 1    57.0   57.0
261  501.206550 9.309E-24 3.514E-03.09400.180  752.77640.75-.001000 000 2 0 0 0+ g 000 0 1 0 1  u                    Q  4f     3466432320 2 1 1 1     9.0    9.0
261  501.216770 2.343E-23 3.621E-03.09850.185  743.32770.75-.001000 000 2 0 0 0+ g 000 0 1 0 1  u                    Q  3f     3466432320 2 1 1 1    21.0   21.0
261  501.218960 8.849E-24 2.400E-03.08080.154  859.05910.75-.001000 000 2 0 0 0+ g 000 0 1 0 1  u                    Q 10f     3466432320 2 1 1 1    21.0   21.0
261  501.223100 1.194E-24 3.871E-03.07960.150 1614.16620.75-.001000 000 2 1 0 1  u 000 0 2 0 2  g                    Q 11e     3466432320 2 1 1 1    69.0   69.0
261  501.224640 1.285E-24 8.162E-04.06160.113 1434.43090.75-.001000 000 2 0 2 0  g 000 0 1 0 1  u                    Q 24e     3466432320 2 1 1 1   147.0  147.0
261  501.225860 5.898E-24 3.699E-03.10430.191  736.24110.75-.001000 000 2 0 0 0+ g 000 0 1 0 1  u                    Q  2f     3466432320 2 1 1 1     5.0    5.0
261  501.232590 1.101E-23 3.749E-03.11140.197  731.51660.75-.001000 000 2 0 0 0+ g 000 0 1 0 1  u                    Q  1f     3466432320 2 1 1 1     9.0    9.0
261  501.248910 2.340E-23 2.192E-03.07960.150  885.03520.75-.001000 000 2 0 0 0+ g 000 0 1 0 1  u                    Q 11f     3466432320 2 1 1 1    69.0   69.0
261  501.261440 3.923E-25 3.683E-03.08080.154 1588.18570.75-.001000 000 2 1 0 1  u 000 0 2 0 2  g                    Q 10e     3466432320 2 1 1 1    21.0   21.0
