381  620.816337 7.447E-29 4.543E-07.08130.116 1167.73120.760.000000             V7         GROUND 27  6 22       27 11 16      002020 4 4 2 2 2 0   165.0  165.0
381  620.846033 3.831E-30 2.719E-09.08440.115  632.16060.760.000000             V7         GROUND 17  2 15       18  9  9      002520 4 4 2 2 2 0   105.0  111.0
381  620.890173 1.231E-26 5.814E-06.08840.117  461.98280.760.000000            V10         GROUND 11  6  5       12  9  4      002520 4 4 2 2 2 0    69.0   75.0
381  620.890214 1.231E-26 5.814E-06.08840.117  461.98280.760.000000            V10         GROUND 11  6  6       12  9  3      002520 4 4 2 2 2 0    69.0   75.0
381  620.899721 1.671E-26 2.901E-05.08130.116 1104.79590.760.000000            V10         GROUND 30  3 27       30  8 22      002020 4 4 2 2 2 0   427.0  427.0
381  620.918212 3.098E-26 4.860E-05.08130.116  888.26630.760.000000            V10         GROUND 27  1 26       28  6 23      002020 4 4 2 2 2 0   165.0  171.0
381  620.929077 3.049E-29 1.692E-08.08310.117  778.11660.760.000000             V7         GROUND 19  5 14       20 10 10      002520 4 4 2 2 2 0   273.0  287.0
381  620.971154 3.333E-28 2.973E-06.08130.116 1286.43330.760.000000            V10         GROUND 33  4 30       32  9 23      002020 4 4 2 2 2 0   201.0  195.0
381  620.977491 2.727E-28 6.118E-07.08130.116  961.84520.760.000000            V10         GROUND 27  4 23       26  9 18      002020 4 4 2 2 2 0   165.0  159.0
381  620.992848 1.534E-30 7.485E-10.08770.118  485.76460.760.000000             V7         GROUND 12  2 11       13  9  5      002520 4 4 2 2 2 0    75.0   81.0
381  621.023365 7.330E-29 5.538E-07.08130.116 1218.95080.760.000000             V7         GROUND 28  6 22       28 11 18      002020 4 4 2 2 2 0   171.0  171.0
381  621.024438 1.730E-26 8.491E-05.08130.116 1343.85370.760.000000            V10         GROUND 34  3 31       34  8 26      002020 4 4 2 2 2 0   483.0  483.0
381  621.029120 1.104E-28 1.519E-05.08130.116 1898.21510.760.000000            V10         GROUND 42  4 39       41  9 32      002020 4 4 2 2 2 0   255.0  249.0
381  621.030423 4.134E-29 1.722E-05.08130.116 2135.59000.760.000000             V7         GROUND 44  2 42       44  9 36      002020 4 4 2 2 2 0   267.0  267.0
381  621.031218 1.681E-29 2.066E-08.08130.116  988.57110.760.000000             V4         GROUND 24  2 22       25 10 16      002020 4 4 2 2 2 0   343.0  357.0
381  621.074237 1.906E-29 6.980E-06.08130.116 2089.66400.760.000000             V7         GROUND 40  8 32       39 13 26      002020 4 4 2 2 2 0   243.0  237.0
381  621.114790 4.339E-25 8.665E-02.08130.116 2123.37700.760.000000            V10         GROUND 37 13 25       38 14 24      002020 4 4 2 2 2 0   525.0  539.0
381  621.114792 1.857E-25 8.653E-02.08130.116 2123.37700.760.000000            V10         GROUND 37 13 24       38 14 25      002020 4 4 2 2 2 0   225.0  231.0
381  621.174983 7.965E-29 6.020E-07.08130.116 1218.95080.760.000000             V7         GROUND 28  6 23       28 11 17      002020 4 4 2 2 2 0   171.0  171.0
381  621.176952 1.329E-27 4.630E-07.08500.118  473.48060.760.000000            V10         GROUND 16  2 14       17  7 11      002520 4 4 2 2 2 0    99.0  105.0
381  621.253192 7.770E-27 6.766E-05.08130.116 1281.29700.760.000000            V10         GROUND 33  3 30       33  8 25      002020 4 4 2 2 2 0   201.0  201.0
381  621.283302 7.682E-27 3.980E-05.08130.116 1161.77050.760.000000            V10         GROUND 31  3 28       31  8 23      002020 4 4 2 2 2 0   189.0  189.0
381  621.298314 2.023E-29 7.413E-06.08130.116 2089.66400.760.000000             V7         GROUND 40  8 33       39 13 27      002020 4 4 2 2 2 0   243.0  237.0
381  621.367600 8.082E-28 6.334E-06.08130.116 1271.46370.760.000000            V10         GROUND 35  0 35       35  5 30      002020 4 4 2 2 2 0   213.0  213.0
381  621.381689 7.369E-29 6.968E-07.08130.116 1272.00340.760.000000             V7         GROUND 29  6 23       29 11 19      002020 4 4 2 2 2 0   177.0  177.0
381  621.420974 1.857E-26 5.321E-05.08130.116 1220.60350.760.000000            V10         GROUND 32  3 29       32  8 24      002020 4 4 2 2 2 0   455.0  455.0
381  621.547988 3.264E-25 1.690E-04.08130.116  801.86240.760.000000            V10         GROUND 23  5 19       24  8 16      002020 4 4 2 2 2 0   329.0  343.0
381  621.587357 2.424E-30 1.558E-09.08500.116  599.21450.760.000000             V7         GROUND 16  2 14       17  9  8      002520 4 4 2 2 2 0    99.0  105.0
381  621.606698 8.278E-29 7.833E-07.08130.116 1272.00340.760.000000             V7         GROUND 29  6 24       29 11 18      002020 4 4 2 2 2 0   177.0  177.0
381  621.655310 3.372E-28 3.929E-06.08130.116 1346.99410.760.000000            V10         GROUND 34  4 31       33  9 24      002020 4 4 2 2 2 0   207.0  201.0
381  621.719079 1.485E-29 6.579E-08.08130.116 1115.83740.760.000000             V7         GROUND 29  2 28       29  9 20      002020 4 4 2 2 2 0   177.0  177.0
381  621.799799 1.378E-25 1.666E-04.08130.116  801.86230.760.000000            V10         GROUND 23  5 18       24  8 17      002020 4 4 2 2 2 0   141.0  147.0
381  621.800210 7.212E-29 8.623E-07.08130.116 1326.88960.760.000000             V7         GROUND 30  6 24       30 11 20      002020 4 4 2 2 2 0   183.0  183.0
