531  506.266020 1.175E-28 5.989E-04.08690.111 2964.13780.730.000000       3 3 1 0        4 0 0 0                     Q 56e     454450 5 3 1 1 1 0   113.0  113.0
531  506.457920 4.150E-28 1.481E-04.08330.107 2447.36430.760.000000       2 3 1 0        3 0 0 0                     P 66e     454450 5 3 1 1 1 0   131.0  133.0
531  506.467970 1.069E-28 5.945E-04.08610.111 2989.09060.740.000000       3 3 1 0        4 0 0 0                     Q 58e     454450 5 3 1 1 1 0   117.0  117.0
531  506.713550 4.654E-28 1.493E-04.08400.108 2418.91540.760.000000       2 3 1 0        3 0 0 0                     P 64e     454450 5 3 1 1 1 0   127.0  129.0
531  506.974850 5.192E-28 1.506E-04.08470.109 2391.33360.750.000000       2 3 1 0        3 0 0 0                     P 62e     454450 5 3 1 1 1 0   123.0  125.0
531  507.241830 5.759E-28 1.517E-04.08540.110 2364.61880.750.000000       2 3 1 0        3 0 0 0                     P 60e     454450 5 3 1 1 1 0   119.0  121.0
531  507.514480 6.352E-28 1.529E-04.08610.111 2338.77130.740.000000       2 3 1 0        3 0 0 0                     P 58e     454450 5 3 1 1 1 0   115.0  117.0
531  507.792760 6.966E-28 1.540E-04.08690.111 2313.79130.730.000000       2 3 1 0        3 0 0 0                     P 56e     454450 5 3 1 1 1 0   111.0  113.0
531  507.862430 1.030E-28 3.401E-04.11170.138 2654.81990.690.000000       3 3 1 0        4 0 0 0                     R 18e     455550 5 3 1 1 1 0    39.0   37.0
531  508.076700 7.595E-28 1.551E-04.08770.112 2289.67880.720.000000       2 3 1 0        3 0 0 0                     P 54e     454450 5 3 1 1 1 0   107.0  109.0
531  508.353450 1.081E-28 3.379E-04.11010.134 2663.28840.670.000000       3 3 1 0        4 0 0 0                     R 20e     455550 5 3 1 1 1 0    43.0   41.0
531  508.366270 8.233E-28 1.561E-04.08850.113 2266.43410.710.000000       2 3 1 0        3 0 0 0                     P 52e     454450 5 3 1 1 1 0   103.0  105.0
531  508.661450 8.870E-28 1.571E-04.08940.113 2244.05720.690.000000       2 3 1 0        3 0 0 0                     P 50e     454450 5 3 1 1 1 0    99.0  101.0
531  508.849980 1.119E-28 3.355E-04.10830.131 2672.62530.660.000000       3 3 1 0        4 0 0 0                     R 22e     455550 5 3 1 1 1 0    47.0   45.0
531  508.962250 9.498E-28 1.581E-04.09030.114 2222.54820.670.000000       2 3 1 0        3 0 0 0                     P 48e     454450 5 3 1 1 1 0    95.0   97.0
531  509.268660 1.011E-27 1.591E-04.09130.114 2201.90740.650.000000       2 3 1 0        3 0 0 0                     P 46e     454450 5 3 1 1 1 0    91.0   93.0
531  509.352050 1.144E-28 3.327E-04.10640.127 2682.83050.640.000000       3 3 1 0        4 0 0 0                     R 24e     455550 5 3 1 1 1 0    51.0   49.0
531  509.580670 1.069E-27 1.600E-04.09230.115 2182.13480.630.000000       2 3 1 0        3 0 0 0                     P 44e     454450 5 3 1 1 1 0    87.0   89.0
531  509.859630 1.156E-28 3.296E-04.10460.125 2693.90400.630.000000       3 3 1 0        4 0 0 0                     R 26e     455550 5 3 1 1 1 0    55.0   53.0
531  509.898260 1.122E-27 1.607E-04.09340.115 2163.23050.620.000000       2 3 1 0        3 0 0 0                     P 42e     454450 5 3 1 1 1 0    83.0   85.0
531  510.221420 1.170E-27 1.615E-04.09460.116 2145.19460.600.000000       2 3 1 0        3 0 0 0                     P 40e     454450 5 3 1 1 1 0    79.0   81.0
531  510.372710 1.153E-28 3.253E-04.10280.122 2705.84560.610.000000       3 3 1 0        4 0 0 0                     R 28e     455550 5 3 1 1 1 0    59.0   57.0
531  510.550170 1.212E-27 1.623E-04.09590.116 2128.02720.590.000000       2 3 1 0        3 0 0 0                     P 38e     455550 5 3 1 1 1 0    75.0   77.0
531  510.884470 1.246E-27 1.630E-04.09720.117 2111.72850.590.000000       2 3 1 0        3 0 0 0                     P 36e     455550 5 3 1 1 1 0    71.0   73.0
531  510.891280 1.135E-28 3.198E-04.10110.120 2718.65540.600.000000       3 3 1 0        4 0 0 0                     R 30e     455550 5 3 1 1 1 0    63.0   61.0
531  511.224330 1.271E-27 1.637E-04.09870.118 2096.29850.590.000000       2 3 1 0        3 0 0 0                     P 34e     455550 5 3 1 1 1 0    67.0   69.0
531  511.415290 1.097E-28 3.112E-04.09940.119 2732.33310.590.000000       3 3 1 0        4 0 0 0                     R 32e     455550 5 3 1 1 1 0    67.0   65.0
531  511.569740 1.286E-27 1.643E-04.10020.119 2081.73730.590.000000       2 3 1 0        3 0 0 0                     P 32e     455550 5 3 1 1 1 0    63.0   65.0
531  511.920680 1.290E-27 1.648E-04.10190.121 2068.04510.610.000000       2 3 1 0        3 0 0 0                     P 30e     455550 5 3 1 1 1 0    59.0   61.0
531  511.944650 1.036E-28 2.982E-04.09790.118 2746.87890.590.000000       3 3 1 0        4 0 0 0                     R 34e     455550 5 3 1 1 1 0    71.0   69.0
531  512.277170 1.282E-27 1.653E-04.10370.123 2055.22180.620.000000       2 3 1 0        3 0 0 0                     P 28e     455550 5 3 1 1 1 0    55.0   57.0
531  512.639180 1.262E-27 1.658E-04.10550.126 2043.26750.630.000000       2 3 1 0        3 0 0 0                     P 26e     455550 5 3 1 1 1 0    51.0   53.0
531  513.006710 1.228E-27 1.661E-04.10740.129 2032.18240.650.000000       2 3 1 0        3 0 0 0                     P 24e     455550 5 3 1 1 1 0    47.0   49.0
531  513.379760 1.181E-27 1.663E-04.10920.133 2021.96650.660.000000       2 3 1 0        3 0 0 0                     P 22e     455550 5 3 1 1 1 0    43.0   45.0
531  513.758310 1.120E-27 1.664E-04.11090.136 2012.61980.680.000000       2 3 1 0        3 0 0 0                     P 20e     455550 5 3 1 1 1 0    39.0   41.0
531  514.142380 1.046E-27 1.664E-04.11240.140 2004.14240.690.000000       2 3 1 0        3 0 0 0                     P 18e     455550 5 3 1 1 1 0    35.0   37.0
531  514.531960 9.593E-28 1.663E-04.11360.144 1996.53430.710.000000       2 3 1 0        3 0 0 0                     P 16e     455550 5 3 1 1 1 0    31.0   33.0
531  514.927010 8.601E-28 1.659E-04.11440.148 1989.79560.720.000000       2 3 1 0        3 0 0 0                     P 14e     455550 5 3 1 1 1 0    27.0   29.0
531  515.327560 7.496E-28 1.652E-04.11500.152 1983.92640.730.000000       2 3 1 0        3 0 0 0                     P 12e     455550 5 3 1 1 1 0    23.0   25.0
531  515.733600 6.288E-28 1.639E-04.11530.155 1978.92660.740.000000       2 3 1 0        3 0 0 0                     P 10e     455550 5 3 1 1 1 0    19.0   21.0
531  516.145110 4.992E-28 1.618E-04.11540.158 1974.79630.750.000000       2 3 1 0        3 0 0 0                     P  8e     455550 5 3 1 1 1 0    15.0   17.0
531  516.562110 3.624E-28 1.579E-04.11560.160 1971.53550.750.000000       2 3 1 0        3 0 0 0                     P  6e     455550 5 3 1 1 1 0    11.0   13.0
531  516.984580 2.200E-28 1.491E-04.11590.161 1969.14420.760.000000       2 3 1 0        3 0 0 0                     P  4e     455550 5 3 1 1 1 0     7.0    9.0
531  517.247570 1.174E-28 5.381E-05.07210.089 2593.07460.750.000000       1 3 1 0        2 0 0 0                     P108e     454440 5 3 1 1 1 0   215.0  217.0
531  517.395240 1.465E-28 5.456E-05.07250.090 2546.40250.750.000000       1 3 1 0        2 0 0 0                     P106e     454440 5 3 1 1 1 0   211.0  213.0
531  517.548520 1.820E-28 5.533E-05.07300.091 2500.59440.750.000000       1 3 1 0        2 0 0 0                     P104e     454440 5 3 1 1 1 0   207.0  209.0
531  517.707390 2.249E-28 5.606E-05.07350.091 2455.65030.750.000000       1 3 1 0        2 0 0 0                     P102e     454440 5 3 1 1 1 0   203.0  205.0
531  517.851040 3.690E-28 3.485E-04.11710.162 1967.62250.750.000000       2 3 1 0        3 0 0 0                     Q  2e     455550 5 3 1 1 1 0     5.0    5.0
531  517.862970 6.589E-28 3.483E-04.11590.161 1969.14420.760.000000       2 3 1 0        3 0 0 0                     Q  4e     455550 5 3 1 1 1 0     9.0    9.0
531  517.871860 2.767E-28 5.683E-05.07390.092 2411.57070.760.000000       1 3 1 0        2 0 0 0                     P100e     454440 5 3 1 1 1 0   199.0  201.0
531  517.881710 9.400E-28 3.481E-04.11560.160 1971.53550.750.000000       2 3 1 0        3 0 0 0                     Q  6e     455550 5 3 1 1 1 0    13.0   13.0
531  517.907270 1.209E-27 3.478E-04.11540.158 1974.79630.750.000000       2 3 1 0        3 0 0 0                     Q  8e     455550 5 3 1 1 1 0    17.0   17.0
531  517.939650 1.461E-27 3.472E-04.11530.155 1978.92660.740.000000       2 3 1 0        3 0 0 0                     Q 10e     455550 5 3 1 1 1 0    21.0   21.0
531  517.978830 1.695E-27 3.467E-04.11500.152 1983.92640.730.000000       2 3 1 0        3 0 0 0                     Q 12e     455550 5 3 1 1 1 0    25.0   25.0
531  518.024850 1.908E-27 3.463E-04.11440.148 1989.79560.720.000000       2 3 1 0        3 0 0 0                     Q 14e     455550 5 3 1 1 1 0    29.0   29.0
531  518.041890 3.386E-28 5.755E-05.07440.093 2368.35560.760.000000       1 3 1 0        2 0 0 0                     P 98e     454440 5 3 1 1 1 0   195.0  197.0
531  518.064690 1.480E-28 2.324E-04.11940.161 1966.97030.730.000000       2 3 1 0        3 0 0 0                     R  0e     455550 5 3 1 1 1 0     3.0    1.0
531  518.077680 2.096E-27 3.455E-04.11360.144 1996.53430.710.000000       2 3 1 0        3 0 0 0                     Q 16e     455550 5 3 1 1 1 0    33.0   33.0
531  518.137330 2.260E-27 3.448E-04.11240.140 2004.14240.690.000000       2 3 1 0        3 0 0 0                     Q 18e     455550 5 3 1 1 1 0    37.0   37.0
531  518.203810 2.396E-27 3.439E-04.11090.136 2012.61980.680.000000       2 3 1 0        3 0 0 0                     Q 20e     455550 5 3 1 1 1 0    41.0   41.0
531  518.217490 4.124E-28 5.829E-05.07490.094 2326.00540.760.000000       1 3 1 0        2 0 0 0                     P 96e     454440 5 3 1 1 1 0   191.0  193.0
531  518.277120 2.506E-27 3.430E-04.10920.133 2021.96650.660.000000       2 3 1 0        3 0 0 0                     Q 22e     455550 5 3 1 1 1 0    45.0   45.0
